,time,x,y,z,rx,ry,rz,maze_type,condition,collision_status,Participant,Distance,Total Distance
403548,1692172527712,0.5257256,0.219,0.8092864,0,0,0,Maze1,visual_only,0,FAS28,0.007492700000000019,59.558343123808555
404640,1692172551629,0.5904949,0.219,-2.783316,0,0,0,Maze2,all,0,FAS28,0.008325000000000138,65.51553369042111
405851,1692172579446,-3.214951,0.219,-2.806641,0,0,0,Maze4,invisible,0,FAS28,0.008338999999999874,81.6051411133136
408568,1692172641395,-3.347248,0.219,0.3880418,0,0,0,Maze3,const_contra_visual,0,FAS28,0.008341600000000005,113.81613967956274
409342,1692172659679,-3.318744,0.219,-2.791234,0,0,0,Maze4,visual_only,0,FAS28,0.012083000000000066,56.250796493716734
410513,1692172685479,-3.252572,0.219,0.3850418,0,0,0,Maze3,contra_visual,0,FAS28,0.008324999999999971,77.97849796507741
412138,1692172720945,0.5171473,0.219,0.8643293,0,0,0,Maze1,const_contra_visual,0,FAS28,0.008325000000000027,101.83022457261059
412795,1692172736445,-3.290847,0.219,-2.790851,0,0,0,Maze4,const_contra_audio2,0,FAS28,0.008338999999999874,60.90007867240334
415633,1692172795312,-3.367227,0.2188848,0.398687,0,0,0,Maze3,invisible,0,FAS28,0.008336293990137189,108.7903586394436
421668,1692172919061,-2.131275,0.2190001,0.865564,0,0,0,Maze2,audio_only,0,FAS28,0.002918700000000052,130.01958620300002
422498,1692172939595,-3.263575,0.219,0.3891888,0,0,0,Maze3,const_contra_audio2,0,FAS28,0.008351200000000003,60.445986218798346
423353,1692172958828,0.5253319,0.219,-2.782072,0,0,0,Maze2,visual_only,0,FAS28,0.008324999999999694,68.11210793219391
424097,1692172976061,-3.384604,0.219,-2.800924,0,0,0,Maze4,contra_audio,0,FAS28,0.012086000000000041,57.568588749264585
424863,1692172993012,-3.204065,0.219,0.4093639,0,0,0,Maze3,visual_only,0,FAS28,0.008334100000000011,75.55396763738668
425717,1692173012445,0.4503019,0.219,-2.804489,0,0,0,Maze2,contra_audio,0,FAS28,0.016663999999999568,71.34473977701708
427737,1692173055495,-3.547103,0.219,-2.961274,0,0,0,Maze4,const_contra_visual,0,FAS28,0.016668000000000127,84.82114363471409
428442,1692173074196,0.5261406,0.219,0.8402779,0,0,0,Maze1,all,0,FAS28,0.01665939999999999,68.48425365081192
429287,1692173093530,0.4584095,0.219,-2.802265,0,0,0,Maze2,const_contra_audio2,0,FAS28,0.016657999999999618,70.77470356110568
